Epoch 87/4000 (2%) | Time: 00:00:14 | ETA: 15:52:52 | GPS: 17.296491 | green Avg Loss: -0.081652 | blue Avg Loss: -0.079661 | green Avg Reward: 5.819490 | blue Avg Reward: 0.942543 | Games Played: 250
Epoch 88/4000 (2%) | Time: 00:00:14 | ETA: 15:52:35 | GPS: 17.158510 | blue Avg Loss: -0.081446 | red Avg Loss: -0.079017 | blue Avg Reward: 1.105625 | red Avg Reward: 0.349388 | Games Played: 250
Epoch 89/4000 (2%) | Time: 00:00:14 | ETA: 15:51:56 | GPS: 17.792871 | green Avg Loss: -0.079621 | blue Avg Loss: -0.079189 | green Avg Reward: 0.401364 | blue Avg Reward: 0.925886 | Games Played: 250
Epoch 90/4000 (2%) | Time: 00:00:14 | ETA: 15:51:16 | GPS: 17.844690 | red Avg Loss: -0.079545 | green Avg Loss: -0.079968 | red Avg Reward: 0.687251 | green Avg Reward: 0.665227 | Games Played: 250
Epoch 91/4000 (2%) | Time: 00:00:13 | ETA: 15:50:30 | GPS: 18.020003 | green Avg Loss: -0.079112 | blue Avg Loss: -0.079190 | green Avg Reward: 0.538145 | blue Avg Reward: 0.369967 | Games Played: 250
Epoch 92/4000 (2%) | Time: 00:00:13 | ETA: 15:49:43 | GPS: 18.086298 | red Avg Loss: -0.079083 | blue Avg Loss: -0.080131 | red Avg Reward: 0.437434 | blue Avg Reward: 1.072748 | Games Played: 250
Epoch 93/4000 (2%) | Time: 00:00:14 | ETA: 15:49:13 | GPS: 17.598091 | green Avg Loss: -0.079748 | red Avg Loss: -0.078716 | green Avg Reward: 1.066976 | red Avg Reward: 0.463183 | Games Played: 250
Epoch 94/4000 (2%) | Time: 00:00:14 | ETA: 15:48:42 | GPS: 17.621647 | red Avg Loss: -0.079089 | blue Avg Loss: -0.080246 | red Avg Reward: 0.462813 | blue Avg Reward: 0.622236 | Games Played: 250
Epoch 95/4000 (2%) | Time: 00:00:14 | ETA: 15:48:05 | GPS: 17.819910 | blue Avg Loss: -0.080235 | red Avg Loss: -0.079202 | blue Avg Reward: 1.467980 | red Avg Reward: 0.455615 | Games Played: 250
Epoch 96/4000 (2%) | Time: 00:00:14 | ETA: 15:47:41 | GPS: 17.445336 | red Avg Loss: -0.079044 | green Avg Loss: -0.079204 | red Avg Reward: 1.150524 | green Avg Reward: 0.354447 | Games Played: 250
Epoch 97/4000 (2%) | Time: 00:00:13 | ETA: 15:46:59 | GPS: 17.996517 | red Avg Loss: -0.079398 | green Avg Loss: -0.079861 | red Avg Reward: 0.723286 | green Avg Reward: 0.744336 | Games Played: 250
Epoch 98/4000 (2%) | Time: 00:00:14 | ETA: 15:46:27 | GPS: 17.710664 | blue Avg Loss: -0.079451 | green Avg Loss: -0.079599 | blue Avg Reward: 0.386688 | green Avg Reward: 1.236043 | Games Played: 250
Epoch 99/4000 (2%) | Time: 00:00:13 | ETA: 15:45:49 | GPS: 17.909390 | red Avg Loss: -0.078637 | green Avg Loss: -0.079613 | red Avg Reward: 0.635263 | green Avg Reward: 0.410396 | Games Played: 250
Epoch 100/4000 (2%) | Time: 00:00:14 | ETA: 15:45:15 | GPS: 17.781456 | red Avg Loss: -0.079679 | green Avg Loss: -0.079553 | red Avg Reward: 0.687082 | green Avg Reward: 0.795224 | Games Played: 250
Epoch 101/4000 (2%) | Time: 00:00:14 | ETA: 15:44:51 | GPS: 17.478139 | blue Avg Loss: -0.079924 | green Avg Loss: -0.079837 | blue Avg Reward: 0.695071 | green Avg Reward: 0.469217 | Games Played: 250
Epoch 102/4000 (2%) | Time: 00:00:13 | ETA: 15:44:10 | GPS: 18.086364 | blue Avg Loss: -0.079269 | green Avg Loss: -0.079791 | blue Avg Reward: 0.835746 | green Avg Reward: 0.600707 | Games Played: 250
Epoch 103/4000 (2%) | Time: 00:00:14 | ETA: 15:43:43 | GPS: 17.584586 | blue Avg Loss: -0.079062 | red Avg Loss: -0.079162 | blue Avg Reward: 0.218323 | red Avg Reward: 0.520379 | Games Played: 250
Epoch 104/4000 (2%) | Time: 00:00:13 | ETA: 15:43:08 | GPS: 17.872098 | blue Avg Loss: -0.079427 | red Avg Loss: -0.079692 | blue Avg Reward: 0.252814 | red Avg Reward: 0.373648 | Games Played: 250
Epoch 105/4000 (2%) | Time: 00:00:14 | ETA: 15:42:38 | GPS: 17.723596 | green Avg Loss: -0.079274 | red Avg Loss: -0.079495 | green Avg Reward: 0.099409 | red Avg Reward: 0.530043 | Games Played: 250
Epoch 106/4000 (2%) | Time: 00:00:13 | ETA: 15:41:55 | GPS: 18.177826 | blue Avg Loss: -0.079177 | green Avg Loss: -0.079354 | blue Avg Reward: 0.250133 | green Avg Reward: 0.521337 | Games Played: 250
Epoch 107/4000 (2%) | Time: 00:00:13 | ETA: 15:41:17 | GPS: 18.057304 | green Avg Loss: -0.079221 | red Avg Loss: -0.079306 | green Avg Reward: 0.953001 | red Avg Reward: 0.399411 | Games Played: 250
Epoch 108/4000 (2%) | Time: 00:00:13 | ETA: 15:40:42 | GPS: 17.936731 | green Avg Loss: -0.079545 | blue Avg Loss: -0.080374 | green Avg Reward: 1.234712 | blue Avg Reward: 0.624992 | Games Played: 250
Epoch 109/4000 (2%) | Time: 00:00:14 | ETA: 15:40:11 | GPS: 17.800951 | red Avg Loss: -0.079257 | green Avg Loss: -0.079464 | red Avg Reward: 0.087533 | green Avg Reward: 0.979209 | Games Played: 250
Epoch 110/4000 (2%) | Time: 00:00:13 | ETA: 15:39:36 | GPS: 17.959898 | blue Avg Loss: -0.079679 | green Avg Loss: -0.079473 | blue Avg Reward: 0.437253 | green Avg Reward: 1.025679 | Games Played: 250
